Date,lalin
4/15/2022,60891
4/16/2022,60192
4/17/2022,69717
4/18/2022,71980
4/19/2022,72040
4/20/2022,72945
4/21/2022,77348
4/22/2022,77976
4/23/2022,68026
4/24/2022,76130
4/25/2022,80758
4/26/2022,85472
4/27/2022,93109
4/28/2022,89983
4/29/2022,82257
4/30/2022,80041
